T,seed,n_jobs,oracle_mrt,fcfs,all,P10,P30,P100,P300,P1000,P3000
inf,0,30645,27.950558329254378,1.089769355454425,1.0000359584202059,1.5267428024727134,1.2602160498634016,1.058284291146176,1.0236696184248901,1.0061849883729428,1.0028878697608448
inf,1,31066,26.506785553337995,1.0935975502386357,1.0001772399818434,1.4407746801969004,1.2000728025824674,1.053088723942564,1.0230443307615005,1.0092882615520489,1.000479719835746
inf,2,31221,26.728746036321766,1.0940029132238454,1.0016226877810552,1.4827496927554673,1.1952969987304194,1.056344412878166,1.0198470295046054,1.0052656915321234,1.0035226679583662
inf,3,31873,28.400117968186326,1.0899495950582965,1.002415673159133,1.427174965324669,1.1909018673681777,1.0540121897890589,1.0202270674881624,1.0064673770004704,1.0030861128831001
inf,4,29396,26.709721390665386,1.0877472876607446,1.0003603601446494,1.467912810064442,1.1914513821322108,1.0579519329697031,1.0223822699242682,1.0079982019437428,1.0028604653144346
1000.0,0,30256,30.42457066367004,1.013888909861202,1.013896112266532,1.467031652268395,1.244621006335498,1.058640528504029,1.025037559783357,1.0128204878905,1.0210371179054722
1000.0,1,31329,29.912055284241475,1.0157503011530802,1.0161534534755738,1.5146287949913608,1.1843158316209634,1.0415047983769914,1.018341680621024,1.0119977512253089,1.0288229687296175
1000.0,2,30924,29.31107262967268,1.0120470895244156,1.0131213649332427,1.5080873993332953,1.1783922609188062,1.0513334826614462,1.0186760464109836,1.0084260795111417,1.024441161157848
1000.0,3,31816,30.767937830022554,1.0159363034524314,1.0175645793790966,1.472278279030626,1.1794814371140434,1.0507592244869315,1.0179005950387556,1.0130754252848562,1.0317918233996601
1000.0,4,29614,28.612982035523714,1.0126117719367747,1.0129362915228677,1.4513088030215828,1.1766636806726318,1.05086989081246,1.0155923175788466,1.010700165345904,1.022190280615974
300.0,0,30198,30.05729485396395,1.0097604395270499,1.0098877875453867,1.461647660809482,1.2486182673907118,1.056267960061573,1.0248645160418892,1.018657294451854,1.0115060074849445
300.0,1,31494,30.11456467898651,1.0126925383168215,1.0130930114786771,1.4589599991818014,1.1830440283243369,1.0446028960972382,1.0255469339215049,1.025123011433338,1.0148030198599132
300.0,2,30837,29.380640788662916,1.0128000568470052,1.0140673375181124,1.4911298520695397,1.1898885048635486,1.051545874474215,1.0281595312515142,1.0241988169633582,1.015132236500224
300.0,3,31394,30.25551442950885,1.0168710968887644,1.0185847931152996,1.4597340238680978,1.173043722805071,1.0519824241856264,1.0270017331942138,1.030558568280047,1.020476150539709
300.0,4,29569,28.77150529270531,1.0111469759010188,1.011502264651354,1.4357247316891675,1.1849978155607297,1.0593333153412543,1.0271051252230068,1.0203749740932846,1.01280020994314
100.0,0,30064,30.009945117083557,1.0137615480693878,1.013884267720855,1.4529315327313148,1.2444616467228207,1.0634632285893237,1.0436154530509265,1.0187370917564031,1.0153909418377451
100.0,1,30598,29.11751617752797,1.0141281810751845,1.014520194990949,1.4527439268036013,1.1737095978511445,1.0478116226659866,1.037473582890908,1.0227436875051734,1.0151231327315158
100.0,2,30987,29.43036305547492,1.0133266676803088,1.0143607935035122,1.5283158339655456,1.1839573517510085,1.0612917037270084,1.043561536002081,1.0179698057804496,1.016213662579836
100.0,3,31570,30.57361767500795,1.0089208026642031,1.0105267033793344,1.4843121196814983,1.1799205044801113,1.0580748248428786,1.0335526049893995,1.01400915082536,1.0118451327091196
100.0,4,29631,28.83494414633323,1.0116218098695067,1.0119849735061677,1.452835677858581,1.1833685871682225,1.0597243076649703,1.0398742998999464,1.0165427947715366,1.0132919131642746
