dist,rho,policy,n_busy,jobs,reference_s,skip_s,speedup,repeats,bit_identical
1-6-14,0.8,fcfs,10000,51553,0.003728513664100319,0.003727153001818806,1.0003650674605655,3,True
1-6-14,0.8,empirical_gittins_n1000,10000,51553,0.07341011134364332,0.025319917001373444,2.899303000861389,3,True
1-6-14,0.8,true_gittins,10000,51553,0.20434787533789253,0.06342158367624506,3.2220557023780576,3,True
1-6-14,0.98,fcfs,4000,187635,0.03673887533174517,0.037876847656055666,0.9699559917276125,3,True
1-6-14,0.98,empirical_gittins_n1000,4000,187635,1.291258680333461,0.17633397201037346,7.322801531729224,3,True
1-6-14,0.98,true_gittins,4000,187635,3.785956930660177,0.43271286100692424,8.749351525744446,3,True
bounded-Pareto,0.8,fcfs,10000,52535,0.007253138998445745,0.007160375011153519,1.0129551856079786,3,True
bounded-Pareto,0.8,empirical_gittins_n1000,10000,52535,0.06459109699547601,0.026235402678139508,2.461982298800245,3,True
bounded-Pareto,0.8,true_gittins,10000,52535,0.17592723599712676,0.08203565268195234,2.1445216835073753,3,True
bounded-Pareto,0.98,fcfs,4000,240381,0.18798962532309815,0.18844540266824575,0.9975813825187873,3,True
bounded-Pareto,0.98,empirical_gittins_n1000,4000,240381,0.629491041986815,0.14299441667390056,4.40220713947435,3,True
bounded-Pareto,0.98,true_gittins,4000,240381,1.86690134734575,1.671643792001608,1.1168057191839553,3,True
