model,seed,policy,mrt,ratio,n_jobs,n_busy
one-way drift,8,genie,27.480613644154953,1.0,20419,4000
one-way drift,8,fcfs,30.344221558352512,1.1042046568274737,20419,4000
one-way drift,8,static,30.524744110877123,1.110773744216212,20419,4000
one-way drift,8,kupd_50,31.248447524364565,1.1371087970959854,20419,4000
one-way drift,8,kupd_200,28.24614427738871,1.0278571156796779,20419,4000
one-way drift,8,kupd_500,27.822409520544593,1.0124377090270085,20419,4000
one-way drift,8,kupd_2000,27.517642391889908,1.0013474498136918,20419,4000
one-way drift,11,genie,27.553017211447845,1.0,20161,4000
one-way drift,11,fcfs,30.838811070879423,1.1192535044062755,20161,4000
one-way drift,11,static,31.079164227964885,1.1279768015769969,20161,4000
one-way drift,11,kupd_50,30.244167948018447,1.097671725601524,20161,4000
one-way drift,11,kupd_200,28.048957888993602,1.0179995052352997,20161,4000
one-way drift,11,kupd_500,27.804922870889342,1.0091425798310334,20161,4000
one-way drift,11,kupd_2000,27.671403204206136,1.0042966616632136,20161,4000
one-way drift,9,genie,26.87340738940204,1.0,20570,4000
one-way drift,9,fcfs,29.882495867768593,1.111972718411333,20570,4000
one-way drift,9,static,30.088400583373847,1.119634743275603,20570,4000
one-way drift,9,kupd_50,30.651486144871175,1.1405880058573845,20570,4000
one-way drift,9,kupd_200,27.876110841030627,1.0373121069873714,20570,4000
one-way drift,9,kupd_500,27.259339815264955,1.0143611273505686,20570,4000
one-way drift,9,kupd_2000,27.026442877977633,1.0056946812273588,20570,4000
one-way drift,7,genie,25.290982545892266,1.0,19938,4000
one-way drift,7,fcfs,28.03517905507072,1.1085049386356942,19938,4000
one-way drift,7,static,28.25495987561441,1.1171950249201983,19938,4000
one-way drift,7,kupd_50,27.733438158290703,1.0965741685980934,19938,4000
one-way drift,7,kupd_200,25.97346925468954,1.0269853773991917,19938,4000
one-way drift,7,kupd_500,25.588571571872805,1.0117666059608614,19938,4000
one-way drift,7,kupd_2000,25.358381482596048,1.0026649394337086,19938,4000
one-way drift,5,genie,25.0109710721583,1.0,18598,4000
one-way drift,5,fcfs,27.63939778470803,1.1050909500861261,18598,4000
one-way drift,5,static,27.779098290138727,1.110676519116119,18598,4000
one-way drift,5,kupd_50,27.406047962146463,1.0957610515432692,18598,4000
one-way drift,5,kupd_200,25.55868265404882,1.0218988531197104,18598,4000
one-way drift,5,kupd_500,25.2809409613937,1.0107940586735524,18598,4000
one-way drift,5,kupd_2000,25.116778685880202,1.0042304480468447,18598,4000
one-way drift,10,genie,25.632991573768773,1.0,19107,4000
one-way drift,10,fcfs,28.50198670644267,1.1119258797560658,19107,4000
one-way drift,10,static,28.50198670644267,1.1119258797560658,19107,4000
one-way drift,10,kupd_50,28.03519338462344,1.0937152342886474,19107,4000
one-way drift,10,kupd_200,26.226250588789448,1.0231443533741797,19107,4000
one-way drift,10,kupd_500,25.99655414246088,1.0141833842392456,19107,4000
one-way drift,10,kupd_2000,25.722640393573034,1.003497399807832,19107,4000
one-way drift,6,genie,26.269999493901516,1.0,19759,4000
one-way drift,6,fcfs,28.996455286198692,1.1037859095859561,19759,4000
one-way drift,6,static,29.3305698668961,1.1165043940600412,19759,4000
one-way drift,6,kupd_50,29.182827572245557,1.1108804010072495,19759,4000
one-way drift,6,kupd_200,27.144563996153654,1.0332913787248137,19759,4000
one-way drift,6,kupd_500,26.50313932891341,1.008874755976528,19759,4000
one-way drift,6,kupd_2000,26.319617389544007,1.0018887665244915,19759,4000
one-way drift,3,genie,27.470321640268196,1.0,20582,4000
one-way drift,3,fcfs,30.47127344281411,1.1092434170172538,20582,4000
one-way drift,3,static,30.723780487804884,1.1184354115012438,20582,4000
one-way drift,3,kupd_50,30.153141580021376,1.0976624873521863,20582,4000
one-way drift,3,kupd_200,28.306346322028958,1.03043374201106,20582,4000
one-way drift,3,kupd_500,27.830591779224566,1.013114886082304,20582,4000
one-way drift,3,kupd_2000,27.589883393256244,1.0043523972727275,20582,4000
one-way drift,2,genie,27.284300754088726,1.0,20422,4000
one-way drift,2,fcfs,30.07850749192048,1.1024107879111773,20422,4000
one-way drift,2,static,30.13155175790814,1.1043549193172097,20422,4000
one-way drift,2,kupd_50,31.111859269415344,1.1402842810532,20422,4000
one-way drift,2,kupd_200,28.073555969052983,1.0289270823569112,20422,4000
one-way drift,2,kupd_500,27.52104837919891,1.0086770640466094,20422,4000
one-way drift,2,kupd_2000,27.39532220154735,1.0040690596566595,20422,4000
one-way drift,0,genie,27.59134497947743,1.0,19978,4000
one-way drift,0,fcfs,30.481830513564923,1.104760588374269,19978,4000
one-way drift,0,static,30.73001852037241,1.1137557282267154,19978,4000
one-way drift,0,kupd_50,30.743232555811396,1.1142346478099692,19978,4000
one-way drift,0,kupd_200,28.338071879066973,1.027063809326619,19978,4000
one-way drift,0,kupd_500,27.937528281109223,1.0125468077721216,19978,4000
one-way drift,0,kupd_2000,27.720694764240665,1.0046880565213274,19978,4000
one-way drift,1,genie,25.12946009047133,1.0,20559,4000
one-way drift,1,fcfs,27.714867454642732,1.102883522163365,20559,4000
one-way drift,1,static,27.739864779415335,1.1038782639796478,20559,4000
one-way drift,1,kupd_50,27.485626246412764,1.0937611133489833,20559,4000
