block_start,genie,fcfs,static,kupd_50,kupd_200,kupd_500,kupd_2000
0,1.0,1.4059914041848007,1.017062058199095,1.1544862163697167,1.0499897118824595,1.022180045907258,1.006025025739872
100,1.0,1.38205861552646,1.0198261737711727,1.1401141156153023,1.0423609202393038,1.0173625998752618,1.0063578062249685
200,1.0,1.331010025283463,1.0186069327552987,1.1197660157685025,1.039185643115867,1.0181257989391255,1.0039123373655003
300,1.0,1.3355855492272282,1.0376170922176005,1.1691360136979967,1.042241067609237,1.021132978577228,1.0068092882599684
400,1.0,1.3002837831214658,1.0197658167015116,1.13006823824113,1.035737560640587,1.0150813889759607,1.005303962640323
500,1.0,1.2919558057439162,1.0352712524751289,1.1136974658701628,1.0297424234604415,1.011529304246944,1.0047263296436506
600,1.0,1.283272681367212,1.0776774738759194,1.1639566324684494,1.0729065637811375,1.0254359413078804,1.023986947486697
700,1.0,1.265210171696115,1.0470109607661626,1.129416956444905,1.0343298923453685,1.0157334699227154,1.0080661919628378
800,1.0,1.2482458739376803,1.0623403689944877,1.130878081460983,1.0416175305584794,1.0271165317255613,1.0056838131799646
900,1.0,1.246497404577221,1.0814488790390993,1.1771088662754707,1.050968944363008,1.023014298194952,1.0073623804420377
1000,1.0,1.2212908614630993,1.0969406978351923,1.1515395369370278,1.0429379317560556,1.0127733341257799,1.0046067786672728
1100,1.0,1.2111900171357892,1.092189490006216,1.1257628189800064,1.0428699508607273,1.0170276990944866,1.0036755213196795
1200,1.0,1.2011744852873658,1.1233031797571158,1.158712740352755,1.0309865858927465,1.0121079348941333,1.0075926066601029
1300,1.0,1.1875682340326583,1.1167011046083954,1.1265657924500099,1.0314848037319841,1.0166045449963377,1.0052676375001364
1400,1.0,1.1840002641607834,1.1170326845092196,1.1449819544471098,1.023773938674972,1.0128593164159903,1.0047811159447322
1500,1.0,1.1624994730597489,1.1326260516131266,1.185843444138139,1.0258126518005461,1.0087882851954124,1.0014822401157106
1600,1.0,1.145671036253357,1.1375090915017247,1.132412723253039,1.0254515514974476,1.0100494957285102,1.0032243283792794
1700,1.0,1.144133188114276,1.1489251766966875,1.1327537302423292,1.0204544544820104,1.0060178672051667,1.0022145196531054
1800,1.0,1.1206791842135915,1.156641948522042,1.122802397129346,1.0279027783812877,1.011448257126154,1.0018654725811535
1900,1.0,1.1110494925229228,1.1528655886649175,1.1264564072396972,1.0351187681626235,1.0169246851293998,1.0062131332264237
2000,1.0,1.1075124867649355,1.1651875914075545,1.108395614805272,1.0256714471303516,1.011311773747584,1.0042833140818344
2100,1.0,1.1022041579221271,1.193825988156825,1.1212230726911587,1.0307687154429335,1.0136725303955354,1.0055554582145885
2200,1.0,1.0828662439340426,1.1837344002561891,1.0946591732910769,1.0268056002102974,1.0053627317869296,1.0012544861155082
2300,1.0,1.0793106271083286,1.190243053128627,1.1056266132721695,1.0289765975594292,1.0106910369277717,1.00122717558251
2400,1.0,1.0610522845346475,1.1953298349710073,1.1160402371593319,1.0210862508483294,1.0094823842192977,1.0047221909414779
2500,1.0,1.0503714504639448,1.2129161330423028,1.0913672438369424,1.0223696352441713,1.0069348934335292,1.0031858849942572
2600,1.0,1.037957203263628,1.2140238548492392,1.087122226977786,1.0215283426216757,1.0084592078411678,1.002295260960692
2700,1.0,1.0403470649742963,1.2640133543952963,1.1539602073940745,1.0401079795101587,1.0185844433975715,1.006532128136873
2800,1.0,1.031055412879258,1.2272539734345873,1.1141053616041066,1.0231254438521507,1.0092608436294905,1.0028050189645323
2900,1.0,1.0216296687769,1.2113378185891857,1.0891424797681317,1.0225936860827063,1.0076049553804494,1.00328962750188
3000,1.0,1.0119540944020988,1.2392597208749982,1.0920303375835858,1.0274523068120982,1.009959631231661,1.0049518773377049
3100,1.0,1.0132701977818015,1.2567136187459196,1.097808311028867,1.023364049507533,1.0149592531925855,1.002773638005685
3200,1.0,1.0068434384232274,1.2480438899450987,1.0846980343385697,1.0227502892638056,1.0116250995014962,1.0029729695448868
3300,1.0,1.001340442101631,1.272569262299007,1.078835739331976,1.0188767197847257,1.0098412204929894,1.00572291865769
3400,1.0,1.0,1.2726393736346793,1.1140969878388767,1.0264872193992816,1.0127387866299087,1.0066412988452595
3500,1.0,1.0,1.2975333483833165,1.0870853109533911,1.0366683434661204,1.0183359779802277,1.0079290513586763
3600,1.0,1.0,1.308857359789166,1.096532189135886,1.020616027844345,1.0063559226990704,1.0032666774414676
3700,1.0,1.0,1.3342744557748525,1.0948249465726079,1.0248083378246202,1.0114116685663888,1.0023062163461822
3800,1.0,1.0,1.3495399228087905,1.0932959302527139,1.0277156541470707,1.0115669157862421,1.003162416408654
3900,1.0,1.0,1.361956158765806,1.0829735460067937,1.0219791743675946,1.0099017582524883,1.0032417265885998
