model,policy,mean,ci,sd,n
one-way drift,genie,1.0,0.0,0.0,40
one-way drift,fcfs,1.108592117904291,0.003229606559114253,0.010098342333819997,40
one-way drift,static,1.1881070531358868,0.011956955395005893,0.03738703976440427,40
one-way drift,kupd_50,1.1166525882175635,0.005076205229413497,0.015872291941778693,40
one-way drift,kupd_200,1.0298983676455589,0.0018801036592821622,0.005878713096156827,40
one-way drift,kupd_500,1.0128050035277387,0.001054149369368557,0.003296117037173617,40
one-way drift,kupd_2000,1.0046538539225267,0.0006439057094695836,0.0020133660759929935,40
stationary,genie,1.0,0.0,0.0,40
stationary,fcfs,1.4168992617407596,0.003427004198404781,0.010715565794621481,40
stationary,static,1.019865626236353,0.0044695858035379826,0.013975512715978397,40
stationary,kupd_50,1.1405479211708627,0.005811404986140774,0.01817111648627968,40
stationary,kupd_200,1.0360672464713077,0.002452372484883064,0.007668084774134831,40
stationary,kupd_500,1.0142018257207408,0.0014995381529338868,0.00468875986401996,40
stationary,kupd_2000,1.0038843787227223,0.0007326078051771578,0.002290720023536379,40
