dist,policy,mean,ci,n
1-6-14,empirical_gittins,1.0068191806211115,0.0025746842872303526,20
1-6-14,fcfs,1.08893931379933,0.0012217946056726444,20
1-6-14,nn_tail_only,1.0948673418103922,0.0031589960753587673,20
1-6-14,nn_no_hazard,1.0101610371389633,0.0028287368808472334,20
1-6-14,nn_full,1.011475838754293,0.003997536227109476,20
bounded-Pareto,empirical_gittins,1.022991469383818,0.004709615328077134,20
bounded-Pareto,fcfs,5.038399842873531,0.1429799779368291,20
bounded-Pareto,nn_tail_only,1.0303174447204415,0.012546089962814757,20
bounded-Pareto,nn_no_hazard,1.1159327734487559,0.022416412491380308,20
bounded-Pareto,nn_full,1.022006631430592,0.004247671398890443,20
