time,stage,tier,arch,popsize,sigma0,n_gen,seeds_per_gen,n_params,busy_per_fitness,optimizer_seed,train_busy_periods,wall_s,final_val_ratio,hidden,n_train,dist_seed,n_busy,final_val_loss
2026-09-17 14:50:13,stage0,knots32,knots,16,1.0,150,4,32,2000,0,19200000,17.8,1.0067905574592908,,,,,
2026-09-17 14:50:32,stage0,knots32,knots,16,1.0,150,4,32,2000,1,19200000,36.8,1.0067561434730248,,,,,
2026-09-17 14:50:53,stage0,knots32,knots,16,1.0,150,4,32,2000,2,19200000,57.4,1.0067355217088765,,,,,
2026-09-17 14:52:18,stage1,tail_only,linear,16,1.0,120,2,3,14000,0,53760000,23.1,,0.0,14.0,2026.0,1000.0,0.8133885684390975
2026-09-17 14:52:42,stage1,tail_only,linear,16,1.0,120,2,3,14000,1,53760000,23.1,,0.0,14.0,2026.0,1000.0,0.8133885684390975
2026-09-17 14:53:08,stage1,tail_only,linear,16,1.0,120,2,3,14000,2,53760000,26.3,,0.0,14.0,2026.0,1000.0,0.8133885684390975
2026-09-17 14:53:36,stage1,no_hazard,linear,16,1.0,120,2,9,14000,0,53760000,20.6,,0.0,14.0,2026.0,1000.0,0.80881824892942
2026-09-17 14:53:57,stage1,no_hazard,linear,16,1.0,120,2,9,14000,1,53760000,20.9,,0.0,14.0,2026.0,1000.0,0.8086484985978886
2026-09-17 14:54:20,stage1,no_hazard,linear,16,1.0,120,2,9,14000,2,53760000,22.6,,0.0,14.0,2026.0,1000.0,0.8086539504287992
2026-09-17 14:54:51,stage1,full,linear,16,1.0,120,2,11,14000,0,53760000,23.5,,0.0,14.0,2026.0,1000.0,0.8085202314608859
2026-09-17 14:55:16,stage1,full,linear,16,1.0,120,2,11,14000,1,53760000,25.0,,0.0,14.0,2026.0,1000.0,0.8090558415982971
2026-09-17 14:55:41,stage1,full,linear,16,1.0,120,2,11,14000,2,53760000,25.0,,0.0,14.0,2026.0,1000.0,0.8085514352577358
2026-09-17 14:56:22,stage1,tail_only,mlp8,16,0.5,120,2,40,14000,0,53760000,25.9,,8.0,14.0,2026.0,1000.0,0.8140008447833784
2026-09-17 14:56:47,stage1,tail_only,mlp8,16,0.5,120,2,40,14000,1,53760000,25.2,,8.0,14.0,2026.0,1000.0,0.8103789059584948
2026-09-17 14:57:13,stage1,tail_only,mlp8,16,0.5,120,2,40,14000,2,53760000,26.3,,8.0,14.0,2026.0,1000.0,0.8126012272484093
2026-09-17 14:57:44,stage1,no_hazard,mlp8,16,0.5,120,2,88,14000,0,53760000,23.0,,8.0,14.0,2026.0,1000.0,0.8081963703145838
2026-09-17 14:58:06,stage1,no_hazard,mlp8,16,0.5,120,2,88,14000,1,53760000,22.2,,8.0,14.0,2026.0,1000.0,0.8081633006192855
2026-09-17 14:58:30,stage1,no_hazard,mlp8,16,0.5,120,2,88,14000,2,53760000,24.2,,8.0,14.0,2026.0,1000.0,0.8087892867690927
2026-09-17 14:59:09,stage1,full,mlp8,16,0.5,120,2,104,14000,0,53760000,30.5,,8.0,14.0,2026.0,1000.0,0.8089351478257664
2026-09-17 14:59:39,stage1,full,mlp8,16,0.5,120,2,104,14000,1,53760000,30.1,,8.0,14.0,2026.0,1000.0,0.8093718648314159
2026-09-17 15:00:14,stage1,full,mlp8,16,0.5,120,2,104,14000,2,53760000,34.5,,8.0,14.0,2026.0,1000.0,0.8106608508491344
