dist,trial,policy,spearman_vs_true,spearman_vs_empirical
1-6-14,1,empirical_gittins,0.951890044480447,1.0
1-6-14,1,fcfs,,
1-6-14,1,mean_excess,0.7944858805108715,0.679282378520964
1-6-14,1,imitation_tail_only,0.6781297966977068,0.5719856470558529
1-6-14,1,imitation_no_hazard,0.9782286443864339,0.935449426535115
1-6-14,1,imitation_full,0.9489953828107577,0.9880734113295548
1-6-14,1,labelfree_tail_only|linear|seed0,0.7890879975915969,0.6734312321425193
1-6-14,1,labelfree_tail_only|linear|seed1,0.7890857215629274,0.6734277167925865
1-6-14,1,labelfree_tail_only|linear|seed2,0.7890857215629274,0.6734277167925865
1-6-14,1,labelfree_no_hazard|linear|seed0,0.8981570136443949,0.8616553307535892
1-6-14,1,labelfree_no_hazard|linear|seed1,0.904236255828155,0.8612241431987757
1-6-14,1,labelfree_no_hazard|linear|seed2,0.8871210470305949,0.8507558582759998
1-6-14,1,labelfree_full|linear|seed0,0.8658663127791032,0.839117041182641
1-6-14,1,labelfree_full|linear|seed1,0.8160772232213851,0.7916092058420541
1-6-14,1,labelfree_full|linear|seed2,0.9090996900979287,0.8711899458256631
1-6-14,1,labelfree_tail_only|mlp8|seed0,0.7790044037693431,0.6623933440276571
1-6-14,1,labelfree_tail_only|mlp8|seed1,0.7812518132354695,0.6646400021436543
1-6-14,1,labelfree_tail_only|mlp8|seed2,0.7800053093265212,0.6633720093444317
1-6-14,1,labelfree_no_hazard|mlp8|seed0,0.8163535479601916,0.806249984883109
1-6-14,1,labelfree_no_hazard|mlp8|seed1,0.8144662372970098,0.8077632906873294
1-6-14,1,labelfree_no_hazard|mlp8|seed2,0.8778123869399008,0.838194488077356
1-6-14,1,labelfree_full|mlp8|seed0,0.7765109164320533,0.7419632053370981
1-6-14,1,labelfree_full|mlp8|seed1,0.8717221293176847,0.8663511139195452
1-6-14,1,labelfree_full|mlp8|seed2,0.8151474925251326,0.8332199690668624
1-6-14,0,empirical_gittins,0.9434158171243845,0.9999999999999999
1-6-14,0,fcfs,,
1-6-14,0,mean_excess,0.8001146121337279,0.6885642089023697
1-6-14,0,imitation_tail_only,0.6863603787575916,0.5811041416295812
1-6-14,0,imitation_no_hazard,0.9748287660290165,0.9325350025102043
1-6-14,0,imitation_full,0.9397523638447384,0.9885502200892636
1-6-14,0,labelfree_tail_only|linear|seed0,0.7920272410110928,0.6831880174564667
1-6-14,0,labelfree_tail_only|linear|seed1,0.7920266002615038,0.6831875021446253
1-6-14,0,labelfree_tail_only|linear|seed2,0.792029481939549,0.683191282228198
1-6-14,0,labelfree_no_hazard|linear|seed0,0.8931104722638065,0.8552144304361536
1-6-14,0,labelfree_no_hazard|linear|seed1,0.897640422687926,0.8532066551500459
1-6-14,0,labelfree_no_hazard|linear|seed2,0.8810510496893679,0.8444616199613921
1-6-14,0,labelfree_full|linear|seed0,0.8565883322042523,0.8300328443325123
1-6-14,0,labelfree_full|linear|seed1,0.8336630340289733,0.8087962382005052
1-6-14,0,labelfree_full|linear|seed2,0.8970817670212461,0.8600622570949867
1-6-14,0,labelfree_tail_only|mlp8|seed0,0.7848730752191709,0.6743860792967591
1-6-14,0,labelfree_tail_only|mlp8|seed1,0.7878363081432579,0.6779368067223962
1-6-14,0,labelfree_tail_only|mlp8|seed2,0.7863257087804986,0.67665191732865
1-6-14,0,labelfree_no_hazard|mlp8|seed0,0.8257400195835451,0.8124404167505187
1-6-14,0,labelfree_no_hazard|mlp8|seed1,0.8247950020854027,0.8116139209710674
1-6-14,0,labelfree_no_hazard|mlp8|seed2,0.8745673893547934,0.8354897407709714
1-6-14,0,labelfree_full|mlp8|seed0,0.870224466616226,0.8226003406106174
1-6-14,0,labelfree_full|mlp8|seed1,0.8424952145074522,0.8426895998426753
1-6-14,0,labelfree_full|mlp8|seed2,0.7925771329863059,0.8204994583063961
1-6-14,2,empirical_gittins,0.9324269332037973,1.0
1-6-14,2,fcfs,,
1-6-14,2,mean_excess,0.7844842692253592,0.6739623753426436
1-6-14,2,imitation_tail_only,0.6821684929291524,0.5995153791232021
1-6-14,2,imitation_no_hazard,0.971558519654119,0.9317500476010544
1-6-14,2,imitation_full,0.9313878824956213,0.9889997150732202
1-6-14,2,labelfree_tail_only|linear|seed0,0.7812687318960947,0.671605644332402
1-6-14,2,labelfree_tail_only|linear|seed1,0.7812687318960947,0.671605644332402
1-6-14,2,labelfree_tail_only|linear|seed2,0.7812687318960947,0.671605644332402
1-6-14,2,labelfree_no_hazard|linear|seed0,0.9264843906369762,0.8520335090312802
1-6-14,2,labelfree_no_hazard|linear|seed1,0.9558033953770118,0.875468874301435
1-6-14,2,labelfree_no_hazard|linear|seed2,0.9116002632219202,0.8371613128424097
1-6-14,2,labelfree_full|linear|seed0,0.9516255929692569,0.8920813544133069
1-6-14,2,labelfree_full|linear|seed1,0.9569400075876879,0.8996971853461443
1-6-14,2,labelfree_full|linear|seed2,0.9478727329014321,0.8790657572502327
1-6-14,2,labelfree_tail_only|mlp8|seed0,0.7729797663635508,0.6655881511014651
1-6-14,2,labelfree_tail_only|mlp8|seed1,0.7746986182002064,0.666645702246746
1-6-14,2,labelfree_tail_only|mlp8|seed2,0.7736127843437435,0.6657584547410073
1-6-14,2,labelfree_no_hazard|mlp8|seed0,0.9562695098821193,0.8982825798139346
1-6-14,2,labelfree_no_hazard|mlp8|seed1,0.9313182457439335,0.8689876713541542
1-6-14,2,labelfree_no_hazard|mlp8|seed2,0.9510312368147809,0.8782670471126763
1-6-14,2,labelfree_full|mlp8|seed0,0.9095643746718018,0.862147965622255
1-6-14,2,labelfree_full|mlp8|seed1,0.9181243951630566,0.8840202516069109
1-6-14,2,labelfree_full|mlp8|seed2,0.9246743774303336,0.925426247486541
1-6-14,3,empirical_gittins,0.9464824080593028,1.0
1-6-14,3,fcfs,,
1-6-14,3,mean_excess,0.8075673831417375,0.7183044819318505
1-6-14,3,imitation_tail_only,0.70889773532165,0.6424780576078226
1-6-14,3,imitation_no_hazard,0.9783442157197872,0.9318036153068318
1-6-14,3,imitation_full,0.9454629493597502,0.9934980499214033
1-6-14,3,labelfree_tail_only|linear|seed0,0.8049300565189921,0.7157658410616153
1-6-14,3,labelfree_tail_only|linear|seed1,0.8049305179966127,0.7157657841260637
1-6-14,3,labelfree_tail_only|linear|seed2,0.8049300565189921,0.7157658410616153
1-6-14,3,labelfree_no_hazard|linear|seed0,0.9396715940060613,0.8884788505342647
1-6-14,3,labelfree_no_hazard|linear|seed1,0.9619935781673282,0.9104482286648735
1-6-14,3,labelfree_no_hazard|linear|seed2,0.9327708794148577,0.8775803431650723
1-6-14,3,labelfree_full|linear|seed0,0.9559713791220037,0.9227967526790245
1-6-14,3,labelfree_full|linear|seed1,0.944718948547094,0.9207018420257082
1-6-14,3,labelfree_full|linear|seed2,0.9573928770275981,0.9119949023982609
1-6-14,3,labelfree_tail_only|mlp8|seed0,0.7933820075755027,0.7078584368952059
1-6-14,3,labelfree_tail_only|mlp8|seed1,0.7991007730987746,0.7109074315673927
1-6-14,3,labelfree_tail_only|mlp8|seed2,0.796477719319584,0.7098164609980746
1-6-14,3,labelfree_no_hazard|mlp8|seed0,0.9572835757534706,0.9316645711986443
1-6-14,3,labelfree_no_hazard|mlp8|seed1,0.9456620799496971,0.9176269566606463
1-6-14,3,labelfree_no_hazard|mlp8|seed2,0.9542747896121279,0.9109127223784275
1-6-14,3,labelfree_full|mlp8|seed0,0.9001185209377355,0.8733167738379536
1-6-14,3,labelfree_full|mlp8|seed1,0.9329734650937443,0.9140825522704622
1-6-14,3,labelfree_full|mlp8|seed2,0.9402690367182368,0.9456205311660236
1-6-14,4,empirical_gittins,0.9515011297843158,0.9999999999999999
1-6-14,4,fcfs,,
1-6-14,4,mean_excess,0.785618717035886,0.6994257193717867
1-6-14,4,imitation_tail_only,0.6670277447263172,0.6064379749216131
1-6-14,4,imitation_no_hazard,0.983860464902463,0.947780157718121
1-6-14,4,imitation_full,0.942392705221327,0.993368731496096
1-6-14,4,labelfree_tail_only|linear|seed0,0.7819753012806463,0.6965271783430032
1-6-14,4,labelfree_tail_only|linear|seed1,0.7819753012806463,0.6965271783430032
1-6-14,4,labelfree_tail_only|linear|seed2,0.7819753012806463,0.6965271783430032
1-6-14,4,labelfree_no_hazard|linear|seed0,0.9226960149705646,0.8661882840981233
1-6-14,4,labelfree_no_hazard|linear|seed1,0.9451811226702136,0.8891713270102584
1-6-14,4,labelfree_no_hazard|linear|seed2,0.9115311929611782,0.8522717315885829
1-6-14,4,labelfree_full|linear|seed0,0.9509588693007319,0.9078360365448311
1-6-14,4,labelfree_full|linear|seed1,0.9352684324053231,0.9027231593223749
1-6-14,4,labelfree_full|linear|seed2,0.9477170262267581,0.896005519297735
1-6-14,4,labelfree_tail_only|mlp8|seed0,0.7728969813016369,0.6893471376688669
1-6-14,4,labelfree_tail_only|mlp8|seed1,0.7747828547017053,0.6906677448241072
1-6-14,4,labelfree_tail_only|mlp8|seed2,0.7733863710469683,0.6894354285567303
1-6-14,4,labelfree_no_hazard|mlp8|seed0,0.9368494584054914,0.9032771436107153
1-6-14,4,labelfree_no_hazard|mlp8|seed1,0.9189148078306728,0.8794979374403332
1-6-14,4,labelfree_no_hazard|mlp8|seed2,0.9305019243079262,0.8847993474057398
1-6-14,4,labelfree_full|mlp8|seed0,0.8918558533525065,0.8712171843746355
1-6-14,4,labelfree_full|mlp8|seed1,0.9263032152199862,0.9011460714686849
1-6-14,4,labelfree_full|mlp8|seed2,0.9271413635752884,0.9334266551312758
1-6-14,6,empirical_gittins,0.9336907257587123,0.9999999999999999
1-6-14,6,fcfs,,
1-6-14,6,mean_excess,0.8019190480551465,0.664080611916354
1-6-14,6,imitation_tail_only,0.6777748051458976,0.5695057206722127
1-6-14,6,imitation_no_hazard,0.9618041871702419,0.9222253023380662
1-6-14,6,imitation_full,0.9293986409316521,0.992501535630178
1-6-14,6,labelfree_tail_only|linear|seed0,0.793699454285014,0.6584388510609919
1-6-14,6,labelfree_tail_only|linear|seed1,0.793699454285014,0.6584388510609919
1-6-14,6,labelfree_tail_only|linear|seed2,0.793699454285014,0.6584388510609919
1-6-14,6,labelfree_no_hazard|linear|seed0,0.9371144895051752,0.8651456018587732
1-6-14,6,labelfree_no_hazard|linear|seed1,0.9631452009241813,0.8887149421765591
1-6-14,6,labelfree_no_hazard|linear|seed2,0.9233472932743085,0.8499486819481503
1-6-14,6,labelfree_full|linear|seed0,0.9555780286826457,0.9079945925002171
1-6-14,6,labelfree_full|linear|seed1,0.9545567700412844,0.9131044147958792
1-6-14,6,labelfree_full|linear|seed2,0.9554015057788404,0.8880737114124797
1-6-14,6,labelfree_tail_only|mlp8|seed0,0.7839216973348326,0.650778279377363
1-6-14,6,labelfree_tail_only|mlp8|seed1,0.7862487368805174,0.6525289811845719
1-6-14,6,labelfree_tail_only|mlp8|seed2,0.7852846330740467,0.6512983623268538
1-6-14,6,labelfree_no_hazard|mlp8|seed0,0.9577058485075438,0.9155123143141595
1-6-14,6,labelfree_no_hazard|mlp8|seed1,0.9365007246706585,0.8902330642029247
1-6-14,6,labelfree_no_hazard|mlp8|seed2,0.949834160638177,0.8883866740625086
1-6-14,6,labelfree_full|mlp8|seed0,0.8997618458318368,0.8686863527134049
1-6-14,6,labelfree_full|mlp8|seed1,0.9171948689900001,0.893423597889652
1-6-14,6,labelfree_full|mlp8|seed2,0.9159411405353546,0.9216867807622494
