k,family,mean,cv2,max,atoms,fcfs_over_gittins_2000bp
0,mixture,5.943503693106984,0.07257466221453378,15.34,1489,1.0
1,discrete,3.921667957526666,0.6844581066968822,11.38,5,1.3706966672456151
2,mixture,3.6795317265532765,0.4173446576298946,16.0,1600,1.0247535185555745
3,mixture,6.284846200173769,0.4432445342820471,16.0,1600,1.0046895779764666
4,weibull,2.784321733552112,0.4693540898551158,35.300000000000004,3279,1.0
5,bounded-Pareto,8.261186920947729,1.2890713576734771,186.31,18248,1.5330831570465906
6,bounded-Pareto,16.10405446209342,2.3522213830152996,273.3,26865,2.1154962779061375
7,mixture,7.272990506189329,0.4240486508389082,16.0,1600,1.037359918373136
8,bounded-Pareto,7.762935085978723,2.892450666434463,188.07,18576,2.518169753055887
9,weibull,4.22847281004108,3.5650469469697046,500.0,50000,2.405184214372213
10,weibull,6.206130576793512,0.4084852403678668,66.41,6136,1.0
11,mixture,6.25060750977126,0.06606939409426231,16.0,1600,1.0
12,mixture,10.219425522398081,0.14589550289465236,16.0,1600,1.0
13,discrete,0.6559352581367075,0.8920438639531904,3.35,5,1.5005896414851936
