model,seed,policy,mrt,ratio,n_jobs,n_busy
tail drift α 2.0→1.2,1,genie,16.11789536074142,1.0,18559,4000
tail drift α 2.0→1.2,1,fcfs,43.49551538337195,2.698585293543633,18559,4000
tail drift α 2.0→1.2,1,static,16.465772401530256,1.0215832795165156,18559,4000
tail drift α 2.0→1.2,1,kupd_50,16.660617490166498,1.0336720221392548,18559,4000
tail drift α 2.0→1.2,1,kupd_200,16.55057977261706,1.0268449696558728,18559,4000
tail drift α 2.0→1.2,1,kupd_500,16.349794169944502,1.0143876606723679,18559,4000
tail drift α 2.0→1.2,1,kupd_2000,16.23799396519209,1.0074512584777784,18559,4000
tail drift α 2.0→1.2,6,genie,18.033439359048167,1.0,20844,4000
tail drift α 2.0→1.2,6,fcfs,61.473919113413935,3.4088848992951406,20844,4000
tail drift α 2.0→1.2,6,static,18.808597198234505,1.042984470336071,20844,4000
tail drift α 2.0→1.2,6,kupd_50,19.41574026098637,1.0766520947233864,20844,4000
tail drift α 2.0→1.2,6,kupd_200,18.535059489541357,1.0278161098671124,20844,4000
tail drift α 2.0→1.2,6,kupd_500,18.50981529456918,1.0264162551600005,20844,4000
tail drift α 2.0→1.2,6,kupd_2000,18.293359240069087,1.014413217348387,20844,4000
tail drift α 2.0→1.2,10,genie,16.339239002521715,1.0,17845,4000
tail drift α 2.0→1.2,10,fcfs,46.44613393107313,2.8426130448244784,17845,4000
tail drift α 2.0→1.2,10,static,17.038353040067246,1.0427874295392603,17845,4000
tail drift α 2.0→1.2,10,kupd_50,17.56351583076492,1.0749286321140328,17845,4000
tail drift α 2.0→1.2,10,kupd_200,16.756208461753996,1.0255195152704435,17845,4000
tail drift α 2.0→1.2,10,kupd_500,16.648142897170075,1.018905647600888,17845,4000
tail drift α 2.0→1.2,10,kupd_2000,16.497955169515272,1.0097138041110152,17845,4000
tail drift α 2.0→1.2,3,genie,18.313595739530385,1.0,20655,4000
tail drift α 2.0→1.2,3,fcfs,77.09284434761558,4.209596271758288,20655,4000
tail drift α 2.0→1.2,3,static,20.34466376180102,1.11090492829251,20655,4000
tail drift α 2.0→1.2,3,kupd_50,21.128769305252966,1.1537204165562067,20655,4000
tail drift α 2.0→1.2,3,kupd_200,19.25091842168967,1.051181793870007,20655,4000
tail drift α 2.0→1.2,3,kupd_500,19.458931493585087,1.062540189831889,20655,4000
tail drift α 2.0→1.2,3,kupd_2000,18.775662067296057,1.0252307812369303,20655,4000
tail drift α 2.0→1.2,7,genie,19.513087630916083,1.0,22629,4000
tail drift α 2.0→1.2,7,fcfs,91.51290026072738,4.689821620835468,22629,4000
tail drift α 2.0→1.2,7,static,21.148397631357994,1.0838058041542828,22629,4000
tail drift α 2.0→1.2,7,kupd_50,21.55063811922754,1.104419686256275,22629,4000
tail drift α 2.0→1.2,7,kupd_200,20.861740686729416,1.069115307701307,22629,4000
tail drift α 2.0→1.2,7,kupd_500,20.512885677670244,1.0512373062461988,22629,4000
tail drift α 2.0→1.2,7,kupd_2000,19.816635290998278,1.015556106026053,22629,4000
tail drift α 2.0→1.2,11,genie,19.029006138555978,1.0,20526,4000
tail drift α 2.0→1.2,11,fcfs,64.06123355743934,3.3665044349132067,20526,4000
tail drift α 2.0→1.2,11,static,19.065256747539706,1.0019050185133043,20526,4000
tail drift α 2.0→1.2,11,kupd_50,19.56079752509013,1.0279463563499858,20526,4000
tail drift α 2.0→1.2,11,kupd_200,19.43139335476956,1.021145992243824,20526,4000
tail drift α 2.0→1.2,11,kupd_500,19.418628081457666,1.0204751598724984,20526,4000
tail drift α 2.0→1.2,11,kupd_2000,19.190996784565918,1.0085128274609003,20526,4000
tail drift α 2.0→1.2,5,genie,16.968322319014717,1.0,19974,4000
tail drift α 2.0→1.2,5,fcfs,56.8624141383799,3.351092292410065,19974,4000
tail drift α 2.0→1.2,5,static,17.909059777711022,1.0554408055793538,19974,4000
tail drift α 2.0→1.2,5,kupd_50,18.252664463802944,1.0756905792241458,19974,4000
tail drift α 2.0→1.2,5,kupd_200,17.674475317913288,1.041615958585797,19974,4000
tail drift α 2.0→1.2,5,kupd_500,17.385879643536597,1.0246080500282555,19974,4000
tail drift α 2.0→1.2,5,kupd_2000,17.161499949934917,1.0113846040456058,19974,4000
tail drift α 2.0→1.2,9,genie,18.577996227573806,1.0,22797,4000
tail drift α 2.0→1.2,9,fcfs,64.1896885555117,3.455145957034923,22797,4000
tail drift α 2.0→1.2,9,static,19.399980699214808,1.0442450553639901,22797,4000
tail drift α 2.0→1.2,9,kupd_50,19.786633767601,1.0650574758021165,22797,4000
tail drift α 2.0→1.2,9,kupd_200,19.07039303417116,1.0265043011402128,22797,4000
tail drift α 2.0→1.2,9,kupd_500,18.922457779532394,1.0185413726937533,22797,4000
tail drift α 2.0→1.2,9,kupd_2000,18.65648330920735,1.0042247334250747,22797,4000
tail drift α 2.0→1.2,8,genie,18.91331061624112,1.0,20836,4000
tail drift α 2.0→1.2,8,fcfs,66.41639278172394,3.511621742451122,20836,4000
tail drift α 2.0→1.2,8,static,19.58908091764254,1.035729879084264,20836,4000
tail drift α 2.0→1.2,8,kupd_50,20.041023229026685,1.0596253419439525,20836,4000
tail drift α 2.0→1.2,8,kupd_200,19.573545306200806,1.0349084675526206,20836,4000
tail drift α 2.0→1.2,8,kupd_500,19.295708869264736,1.020218472629284,20836,4000
tail drift α 2.0→1.2,8,kupd_2000,19.030708389326165,1.0062071509037784,20836,4000
tail drift α 2.0→1.2,0,genie,16.84838782590412,1.0,19024,4000
tail drift α 2.0→1.2,0,fcfs,57.00832474768714,3.3836071045348195,19024,4000
tail drift α 2.0→1.2,0,static,17.30647813288478,1.0271889697527234,19024,4000
tail drift α 2.0→1.2,0,kupd_50,17.837612489486965,1.0587133127397466,19024,4000
tail drift α 2.0→1.2,0,kupd_200,17.579790264928516,1.0434108263996558,19024,4000
tail drift α 2.0→1.2,0,kupd_500,17.3504720353238,1.02980013367497,19024,4000
tail drift α 2.0→1.2,0,kupd_2000,17.145599768713204,1.017640378763844,19024,4000
tail drift α 2.0→1.2,2,genie,18.02022999208529,1.0,21479,4000
tail drift α 2.0→1.2,2,fcfs,83.85594254853578,4.653433534719943,21479,4000
