block_start,genie,fcfs,static,kupd_50,kupd_200,kupd_500,kupd_2000
0,1.0,1.611064320094149,1.0189154761485222,1.0361446031302624,1.0260474807584556,1.0176792894802904,1.004274671180076
100,1.0,1.8779592955001398,1.0122148530660493,1.032774059659296,1.013106530693903,1.0049545686025003,1.0011241001469011
200,1.0,1.847827002028669,1.0200561970373512,1.0346546349657575,1.0298734399675569,1.0058810672114011,1.0041485258657712
300,1.0,2.0833532704559037,1.0181407136187783,1.0641249991688742,1.0340981193762475,1.029955699812593,1.00267438442081
400,1.0,2.3638580330875905,1.022590860536493,1.0477813312782729,1.0234161306105294,1.0157110735090897,1.008160348036768
500,1.0,2.312188461124761,1.0216052933742867,1.0612502588386412,1.028719992743466,1.0131031502184296,1.00429636248759
600,1.0,2.8340039175961467,1.0213371707780092,1.0505790171731195,1.0282421989352488,1.0196148967474294,1.0119625368375669
700,1.0,1.788292104368336,1.0158590745182854,1.0413026633792415,1.0184436890661652,1.0136447599853802,1.0009293662485206
800,1.0,3.150248259452639,1.0495807620729685,1.0640869435233606,1.0374600856889373,1.0305702287769516,1.0006477623170136
900,1.0,2.738422275735665,1.01804085923129,1.0738642484256395,1.0309814999375395,1.0116624522874647,1.00903155910907
1000,1.0,2.4309868337679728,1.013383865996013,1.0721100487204838,1.0315521963967786,1.018810655763005,1.0000682203088438
1100,1.0,1.9085828284672979,1.0158704075717992,1.042784160837217,1.0238620068127138,1.0159480232807425,1.0087847087128101
1200,1.0,3.4019510634656847,1.0337184897123683,1.058932473759936,1.0205455095101035,1.0174472053429977,1.0106169776478717
1300,1.0,2.2895000698552246,1.0205746663696098,1.0354591302793492,1.012093035964334,1.010784332504051,1.0063123467430453
1400,1.0,2.896825867939783,1.0094217048230032,1.0578057735345923,1.0228199200935062,1.0104896221230157,1.0018867556254556
1500,1.0,3.531263672252,1.0342998820666665,1.0526849449939117,1.046603728949426,1.0283320842521226,1.0131746335350613
1600,1.0,2.922109391687903,1.038059165905897,1.0764482293221371,1.0378039621714803,1.0199711292909808,1.0109623320240382
1700,1.0,3.5080755884588775,1.0279753660542694,1.0488990850336222,1.032974363217756,1.0185178268910018,1.0046039556620294
1800,1.0,3.020721287449625,1.0145144040981926,1.0622343965715497,1.0315800951525906,1.0186290500389978,0.9974097268552613
1900,1.0,3.9102072201353018,1.0493974861862307,1.0903686443474672,1.044586235129661,1.0410986976248384,1.0144541275472698
2000,1.0,2.5104481724925622,1.0340017004568431,1.056565340776666,1.029647385854431,1.016156939724228,1.0038314389355765
2100,1.0,3.940255490514801,1.0464609791208361,1.1133756900079292,1.0389547200262477,1.0268058572675365,1.0176106199458503
2200,1.0,3.169561424715544,1.0194116802699167,1.067334036070789,1.0264129012453052,1.0193710838365038,1.0032400087063413
2300,1.0,3.7857126275713537,1.0472795690719505,1.0439828833051215,1.0360621470951012,1.030549565880323,1.0157423664924108
2400,1.0,4.111615088005371,1.0629430825766428,1.1076145663267147,1.083708456771821,1.0359403278514436,1.02331978738694
2500,1.0,4.621300627845297,1.0458812112778164,1.086253818362063,1.031195495306952,1.0190444121796165,1.0118741243536613
2600,1.0,4.070155768760094,1.0370000319977755,1.0597340585239632,1.0303812432750001,1.0191003754500096,1.0080460720150064
2700,1.0,4.084235501348268,1.0397597660000153,1.0672811742350201,1.0447572101377487,1.0167512470934676,1.0175600576967707
2800,1.0,3.581384875775866,1.0427302113765526,1.0674451627587898,1.037698473203327,1.0189098643055574,0.9998574183894057
2900,1.0,3.970051391846358,1.0259973313536204,1.0494207959045192,1.0230229168241103,1.0157912578691841,1.016916786722698
3000,1.0,4.107088494697097,1.0237092939448753,1.07472564360833,1.0208629439082186,1.0189244165014963,1.0151461087966211
3100,1.0,4.7905404629962085,1.0261166180981085,1.082154124433543,1.0198293985834008,1.0152960402317857,1.0038975055367412
3200,1.0,3.6690384150669977,1.0572271991396551,1.0769647828270772,1.0504472565504492,1.0357340912372452,1.0067955563246187
3300,1.0,4.889089230100457,1.101628241137747,1.1295852593155415,1.0449303515850756,1.0533951548279084,1.0288291273366916
3400,1.0,5.114807210876552,1.05832270885994,1.0818129006931692,1.0579972253547978,1.073249551687968,1.018128299024302
3500,1.0,5.503276257494621,1.064673105693827,1.0816734854341437,1.0541385338334561,1.0279577210874793,1.038708859076645
3600,1.0,5.071486120139379,1.0426353708797733,1.0214456659560156,1.0409379869893407,1.0286301443603212,1.009579630235284
3700,1.0,4.630954297836518,1.074256689324095,1.1112479526610277,1.038712222154126,1.033820011323734,1.0015518177036824
3800,1.0,4.184402592870875,1.0464294476227332,1.0628930762733098,1.0304311839348845,1.020095529577076,1.0128028091320822
3900,1.0,5.040513327780859,1.0789482086417734,1.1154726353547806,1.0462613485136618,1.033457826569598,1.0211619052519028
