model,policy,mean,ci,sd,n
tail drift α 2.0→1.2,genie,1.0,0.0,0.0,40
tail drift α 2.0→1.2,fcfs,3.5761617076165644,0.17355785584685487,0.5426811628553299,40
tail drift α 2.0→1.2,static,1.0387269555353897,0.00899180153457939,0.02811558882852095,40
tail drift α 2.0→1.2,kupd_50,1.0683795666083578,0.00847359987844524,0.02649527451908064,40
tail drift α 2.0→1.2,kupd_200,1.034939235828006,0.004082161100987662,0.01276411213100915,40
tail drift α 2.0→1.2,kupd_500,1.0237769832605779,0.0035791732253267618,0.01119136831060469,40
tail drift α 2.0→1.2,kupd_2000,1.0105168032521348,0.002305545383463321,0.007208985404945503,40
stationary α=2.0,genie,1.0,0.0,0.0,40
stationary α=2.0,fcfs,1.9569481632776864,0.09762842537284522,0.30526481875773026,40
stationary α=2.0,static,1.0208861359429535,0.004842593112818744,0.015141832957527345,40
stationary α=2.0,kupd_50,1.0468281941048865,0.00406915767034627,0.012723452969675619,40
stationary α=2.0,kupd_200,1.0250429030645438,0.002815422338081678,0.008803270015661026,40
stationary α=2.0,kupd_500,1.0150783996936026,0.0021585012189681146,0.0067492073223575175,40
stationary α=2.0,kupd_2000,1.0064016624840635,0.0015359149467520706,0.0048025029191751225,40
