iter,ratio,seed,arm
0,1.0933176828467281,1,scratch
83,1.0933176828467281,1,scratch
166,1.0933176828467281,1,scratch
249,1.0933176828467281,1,scratch
332,1.0933176828467281,1,scratch
415,1.0933176828467281,1,scratch
498,1.0933176828467281,1,scratch
581,1.0933176828467281,1,scratch
664,1.0933176828467281,1,scratch
747,1.0933176828467281,1,scratch
830,1.0933176828467281,1,scratch
913,1.0933176828467281,1,scratch
996,1.0933176828467281,1,scratch
1079,1.0933176828467281,1,scratch
1162,1.0933176828467281,1,scratch
1245,1.0933176828467281,1,scratch
1328,1.0933176828467281,1,scratch
1411,1.0933176828467281,1,scratch
1494,1.0933176828467281,1,scratch
1577,1.0933176828467281,1,scratch
1660,1.0933176828467281,1,scratch
1743,1.0933176828467281,1,scratch
1826,1.0933176828467281,1,scratch
1909,1.0933176828467281,1,scratch
1992,1.0933176828467281,1,scratch
0,1.0933176828467281,0,scratch
83,1.0730356850878175,0,scratch
166,1.3190668043747835,0,scratch
249,1.2589564688671442,0,scratch
332,1.0702533197937216,0,scratch
415,1.187462399159259,0,scratch
498,1.3984956162809077,0,scratch
581,1.07351718731273,0,scratch
664,1.3926930128324702,0,scratch
747,1.7966329665233893,0,scratch
830,1.0933176828467281,0,scratch
913,1.0933176828467281,0,scratch
996,1.8259303785799201,0,scratch
1079,1.0933176828467281,0,scratch
1162,1.0933176828467281,0,scratch
1245,1.0933176828467281,0,scratch
1328,1.0933176828467281,0,scratch
1411,1.0933176828467281,0,scratch
1494,1.0933176828467281,0,scratch
1577,1.0933176828467281,0,scratch
1660,1.0933176828467281,0,scratch
1743,1.0933176828467281,0,scratch
1826,1.0933176828467281,0,scratch
1909,1.0933176828467281,0,scratch
1992,1.0933176828467281,0,scratch
0,1.0933176828467281,2,scratch
83,1.112948467232015,2,scratch
166,1.1133359622153387,2,scratch
249,1.1130336634974487,2,scratch
332,1.1564257239056892,2,scratch
415,1.112834535436348,2,scratch
498,1.111263197696853,2,scratch
581,1.1119468354627269,2,scratch
664,1.1469819316953862,2,scratch
747,1.1458463026007346,2,scratch
830,1.1453636960668108,2,scratch
913,1.1449145007544663,2,scratch
996,1.1456671460855852,2,scratch
1079,1.1468155099777726,2,scratch
1162,1.1484085344665766,2,scratch
1245,1.1480672089983044,2,scratch
1328,1.1498943704934645,2,scratch
1411,1.1512850949697526,2,scratch
1494,1.1518062583353303,2,scratch
1577,1.1520773779456002,2,scratch
1660,1.152698939447471,2,scratch
1743,1.1530220790609593,2,scratch
1826,1.1530201993860465,2,scratch
1909,1.1530228544268613,2,scratch
1992,1.1530217971097225,2,scratch
0,1.000966599328096,0,finetune
83,1.0024775760069458,0,finetune
166,1.0024773880394546,0,finetune
249,1.0009564960754385,0,finetune
332,1.0010997977916216,0,finetune
415,1.0024879612108406,0,finetune
498,1.0030423243345699,0,finetune
581,1.003627749086237,0,finetune
664,1.001304094958733,0,finetune
747,1.0012462009714114,0,finetune
830,1.001311496178703,0,finetune
913,1.0015789504228927,0,finetune
996,1.0021397984250722,0,finetune
1079,1.0020103123194997,0,finetune
1162,1.0020913028123153,0,finetune
1245,1.0015827332686553,0,finetune
1328,1.0014581108219203,0,finetune
1411,1.001570374406102,0,finetune
1494,1.0015887012365041,0,finetune
1577,1.0015777756260722,0,finetune
1660,1.0016541609153509,0,finetune
1743,1.0017340001072823,0,finetune
1826,1.0017084835203378,0,finetune
1909,1.0017089299431297,0,finetune
1992,1.0017089299431297,0,finetune
0,1.000966599328096,2,finetune
83,1.002475484868605,2,finetune
166,1.0010338681940467,2,finetune
249,1.0010649063260482,2,finetune
332,1.0014126696808976,2,finetune
415,1.010067256883023,2,finetune
498,1.0106343783002245,2,finetune
581,1.0085904432957176,2,finetune
664,1.0083677723063313,2,finetune
747,1.0083677488103948,2,finetune
830,1.0083676313307128,2,finetune
913,1.0086193198015692,2,finetune
996,1.0083600421432513,2,finetune
1079,1.0085858850840534,2,finetune
1162,1.0086191083381415,2,finetune
1245,1.0086193198015692,2,finetune
1328,1.0086179335413208,2,finetune
1411,1.008616970207928,2,finetune
1494,1.0085898089054344,2,finetune
1577,1.0085905372794632,2,finetune
1660,1.0085905372794632,2,finetune
1743,1.0085905372794632,2,finetune
1826,1.0085905372794632,2,finetune
1909,1.0085905372794632,2,finetune
1992,1.0085905372794632,2,finetune
0,1.000966599328096,1,finetune
83,1.0024857290968814,1,finetune
166,1.0032910758133746,1,finetune
249,1.002410401124741,1,finetune
332,1.0037796033232746,1,finetune
415,1.004026804070276,1,finetune
498,1.0040847215535342,1,finetune
581,1.005066076329698,1,finetune
664,1.0047489046840583,1,finetune
747,1.0043447275858812,1,finetune
830,1.0040349571602114,1,finetune
913,1.0042132443257137,1,finetune
996,1.0045345747520984,1,finetune
1079,1.0044375600306492,1,finetune
1162,1.0043668842539186,1,finetune
1245,1.0042723131098563,1,finetune
1328,1.004083499764841,1,finetune
1411,1.0042020837559176,1,finetune
1494,1.0042063130244718,1,finetune
1577,1.0041748284696785,1,finetune
1660,1.0041292933449097,1,finetune
1743,1.0041101676526698,1,finetune
1826,1.0041289644018,1,finetune
1909,1.004128564970881,1,finetune
1992,1.0041283535074537,1,finetune
