model,seed,policy,mrt,ratio,n_jobs,n_busy
T=100,1,genie,26.43666841749831,1.0,13327,2500
T=100,1,fcfs,28.559741127035345,1.080307876772089,13327,2500
T=100,1,static,28.18798004051925,1.0662455493772336,13327,2500
T=100,1,kupd_50,29.338770165828766,1.109775623104217,13327,2500
T=100,1,kupd_200,28.2542575223231,1.0687525779012963,13327,2500
T=100,1,kupd_500,27.6999107075861,1.0477837173027316,13327,2500
T=100,1,kupd_2000,27.257658887971782,1.0310549898916181,13327,2500
T=100,3,genie,27.51206268498141,1.0,13177,2500
T=100,3,fcfs,29.40126887758974,1.068668286134708,13177,2500
T=100,3,static,28.902960461410032,1.0505559249538894,13177,2500
T=100,3,kupd_50,30.721531456325415,1.1166567846290938,13177,2500
T=100,3,kupd_200,29.388988388859378,1.0682219187041386,13177,2500
T=100,3,kupd_500,28.614576155422327,1.0400738208205222,13177,2500
T=100,3,kupd_2000,28.557574561736363,1.0380019444098494,13177,2500
T=100,0,genie,27.421798262774868,1.0,12779,2500
T=100,0,fcfs,30.080767665701543,1.0969655373235034,12779,2500
T=100,0,static,28.497695437827684,1.0392351064923904,12779,2500
T=100,0,kupd_50,31.357989670553252,1.143542424536095,12779,2500
T=100,0,kupd_200,29.44539791845997,1.0737952936672335,12779,2500
T=100,0,kupd_500,28.58690977384772,1.0424885158846235,12779,2500
T=100,0,kupd_2000,28.21156037248611,1.0288005222029275,12779,2500
T=100,6,genie,25.171514010874112,1.0,11955,2500
T=100,6,fcfs,26.87664659138436,1.0677405649804628,11955,2500
T=100,6,static,26.37550815558344,1.0478316141090758,11955,2500
T=100,6,kupd_50,28.239669594312005,1.1218899896967838,11955,2500
T=100,6,kupd_200,26.797396905060644,1.0645921772319356,11955,2500
T=100,6,kupd_500,26.385119196988704,1.0482134362514035,11955,2500
T=100,6,kupd_2000,25.9776269343371,1.032024808802313,11955,2500
T=100,2,genie,28.444398200224974,1.0,13335,2500
T=100,2,fcfs,30.50018672665917,1.0722739328834856,13335,2500
T=100,2,static,29.898164229471316,1.0511090450574145,13335,2500
T=100,2,kupd_50,32.458530183727035,1.1411220569774723,13335,2500
T=100,2,kupd_200,30.953814023247094,1.0882217934567613,13335,2500
T=100,2,kupd_500,29.698290963629542,1.044082239131171,13335,2500
T=100,2,kupd_2000,29.275416572928382,1.0292155371631957,13335,2500
T=100,9,genie,26.51501876720327,1.0,11989,2500
T=100,9,fcfs,27.964568354324793,1.054669000985754,11989,2500
T=100,9,static,27.68321711568938,1.044057986861811,11989,2500
T=100,9,kupd_50,29.299345233130367,1.1050094095868062,11989,2500
T=100,9,kupd_200,28.283482358828927,1.0666966750863889,11989,2500
T=100,9,kupd_500,27.73471432146134,1.0460001769173448,11989,2500
T=100,9,kupd_2000,27.349424472433064,1.0314691727188925,11989,2500
T=100,4,genie,26.927372800760814,1.0,12618,2500
T=100,4,fcfs,29.34273735932794,1.089699228232874,12618,2500
T=100,4,static,27.723736725313042,1.0295745125395124,12618,2500
T=100,4,kupd_50,29.953801711840228,1.1123922832528952,12618,2500
T=100,4,kupd_200,28.371684102076397,1.053637289905786,12618,2500
T=100,4,kupd_500,27.78572990965288,1.0318767491817031,12618,2500
T=100,4,kupd_2000,27.46691868758916,1.0200370786567452,12618,2500
T=100,5,genie,25.09173973385582,1.0,12249,2500
T=100,5,fcfs,27.152038533757853,1.0821106396668905,12249,2500
T=100,5,static,26.53421911992816,1.0574882172927225,12249,2500
T=100,5,kupd_50,28.693567638174546,1.1435463599783335,12249,2500
T=100,5,kupd_200,27.07921707894522,1.0792084313869927,12249,2500
T=100,5,kupd_500,26.09280839252184,1.0398963431505426,12249,2500
T=100,5,kupd_2000,25.91458976242959,1.0327936618704645,12249,2500
T=100,8,genie,27.868284275755233,1.0,12910,2500
T=100,8,fcfs,29.766329202168865,1.0681077065108342,12910,2500
T=100,8,static,29.214070487993805,1.048290960395053,12910,2500
T=100,8,kupd_50,31.640323005422154,1.1353523845365863,12910,2500
T=100,8,kupd_200,29.746851278079006,1.0674087785145094,12910,2500
T=100,8,kupd_500,29.33653059643687,1.0526852068162293,12910,2500
T=100,8,kupd_2000,28.94553446940356,1.0386550597442237,12910,2500
T=100,10,genie,23.574266042898753,1.0,11329,2500
T=100,10,fcfs,25.262539500397207,1.0716151015868853,11329,2500
T=100,10,static,24.705407361638272,1.0479820375608364,11329,2500
T=100,10,kupd_50,26.66554859210875,1.1311295352137243,11329,2500
T=100,10,kupd_200,25.288713920028247,1.072725397855851,11329,2500
T=100,10,kupd_500,24.66747197457852,1.0463728512137103,11329,2500
T=100,10,kupd_2000,24.51610910053844,1.039952168857592,11329,2500
