model,policy,mean,ci,sd,n
T=100,genie,1.0,0.0,0.0,20
T=100,fcfs,1.0754770602495614,0.005184856705167949,0.011078412617315686,20
T=100,static,1.0498961676776484,0.003789579148857231,0.008097142089803711,20
T=100,kupd_50,1.1223581667143359,0.007070342201448475,0.015107103765315946,20
T=100,kupd_200,1.0662829528724136,0.0052143986901889575,0.011141534573853284,20
T=100,kupd_500,1.0432082018557025,0.003440570037976393,0.0073514190819360965,20
T=100,kupd_2000,1.0308402213580483,0.002694174520001112,0.005756605957090561,20
T=500,genie,1.0,0.0,0.0,20
T=500,fcfs,1.0846786845303995,0.005792363553424737,0.012376464215564372,20
T=500,static,1.0488822504848438,0.005343282140112396,0.011416918083752763,20
T=500,kupd_50,1.1197728864910244,0.011257732388761982,0.024054243276137813,20
T=500,kupd_200,1.0340800070494653,0.003554558522041516,0.007594976721405102,20
T=500,kupd_500,1.0233592568726135,0.0025710167473571048,0.005493456423754388,20
T=500,kupd_2000,1.037764766920564,0.004680309590934515,0.010000353678718108,20
T=2000,genie,1.0,0.0,0.0,20
T=2000,fcfs,1.099301369395264,0.006258603783427477,0.013372673357007795,20
T=2000,static,1.041880022074257,0.004183343612943075,0.008938493250546705,20
T=2000,kupd_50,1.1141049942538133,0.010297257925612011,0.02200201058847948,20
T=2000,kupd_200,1.0299797231289252,0.0033720777363977026,0.007205072515165593,20
T=2000,kupd_500,1.0116671411930378,0.0023384969677436424,0.004996634581469394,20
T=2000,kupd_2000,1.0101167541810803,0.0011103651568902838,0.0023725020889507056,20
T=8000,genie,1.0,0.0,0.0,20
T=8000,fcfs,1.1269147954255396,0.004756795852567736,0.01016378083092546,20
T=8000,static,1.0172918686503511,0.003498445531502081,0.007475080859718552,20
T=8000,kupd_50,1.1144540245760879,0.012084672206914995,0.025821154308810282,20
T=8000,kupd_200,1.0266159185498496,0.003095601068886796,0.006614328589939407,20
T=8000,kupd_500,1.0126346775577006,0.0018536015913610134,0.003960565243151712,20
T=8000,kupd_2000,1.0035327715313653,0.0009510728487541538,0.0020321443863862954,20
stationary,genie,1.0,0.0,0.0,20
stationary,fcfs,1.0467987600572122,0.002830872805259798,0.006048687319081873,20
stationary,static,1.013293081240979,0.005593227920441467,0.011950973824132708,20
stationary,kupd_50,1.1173400657030341,0.006714895596907934,0.014347625852532162,20
stationary,kupd_200,1.0294158019718398,0.002994478885982005,0.0063982622007050976,20
stationary,kupd_500,1.0105883134775735,0.0021588248499393105,0.004612731617501394,20
stationary,kupd_2000,1.0030576892800895,0.0013202469993383267,0.0028209537596023335,20
